MOVE,TYPE
ANCIENT_POWER,ANCIENT
ROAR_OF_TIME,ANCIENT
TAKE_DOWN,ANGY
THRASH,ANGY
DRAGON_RAGE,ANGY
RAGE,ANGY
OUTRAGE,ANGY
MEAN_LOOK,ANGY
FRUSTRATION,ANGY
HOWL,ANGY
HEAD_CHARGE,ANGY
STOMPING_TANTRUM,ANGY
EGG_BOMB,BABY
REST,BABY
SNORE,BABY
CHARM,BABY
SLEEP_TALK,BABY
UPROAR,BABY
YAWN,BABY
FAKE_TEARS,BABY
BABY_DOLL_EYES,BABY
BODY_SLAM,BAD
HYPER_BEAM,BAD
SELF_DESTRUCT,BAD
EXPLOSION,BAD
ENDURE,BAD
SWAGGER,BAD
GIGA_IMPACT,BAD
ATTRACT,BAD
SMOKESCREEN,BAD
DEFENSE_CURL,BALL
ROLLOUT,BALL
ICE_BALL,BALL
FUTURE_SIGHT,BOOMER
CHIP_AWAY,BOOMER
WILD_CHARGE,BOOMER
PARABOLIC_CHARGE,BOOMER
WATER_SHURIKEN,BOOMER
VISE_GRIP,CRAB
CRABHAMMER,CRAB
CRUSH_CLAW,CRAB
ROLLING_KICK,DANCE
PETAL_DANCE,DANCE
FEATHER_DANCE,DANCE
DRAGON_DANCE,DANCE
QUIVER_DANCE,DANCE
FIERY_DANCE,DANCE
REVELATION_DANCE,DANCE
TEETER_DANCE,DANCE
HYPNOSIS,DREAM
AMNESIA,DREAM
DREAM_EATER,DREAM
NIGHTMARE,DREAM
DARK_VOID,DREAM
DRAGON_ASCENT,EMERALD
COTTON_SPORE,FLUFFY
POLLEN_PUFF,FLUFFY
RETURN,FRIEND
PRESENT,FRIEND
ASSIST,FRIEND
PLAY_NICE,FRIEND
FLATTER,FURRY
TOXIC,GAMER
TRI_ATTACK,GAMER
PROTECT,GAMER
ACUPRESSURE,GAMER
POWER_TRICK,GAMER
POWER_SWAP,GAMER
GUARD_SWAP,GAMER
SWITCHEROO,GAMER
TRICK_ROOM,GAMER
SANDSTORM,GAMER
DAZZLING_GLEAM,GENDER
LOCK_ON,GUN
AURA_SPHERE,GUN
POWER_GEM,GUN
VACUUM_WAVE,GUN
BULLET_PUNCH,GUN
MIRROR_SHOT,GUN
FURY_ATTACK,GUYS
BARRAGE,GUYS
FURY_SWIPES,GUYS
SWEET_KISS,GUYS
ENCORE,GUYS
BEAT_UP,GUYS
ACID_ARMOR,LIQUID
MILK_DRINK,LIQUID
LIQUIDATION,LIQUID
MINIMIZE,LITTLE
BARRIER,MAGIC
LIGHT_SCREEN,MAGIC
REFLECT,MAGIC
METRONOME,MAGIC
KINESIS,MAGIC
MAGIC_COAT,MAGIC
MYSTICAL_FIRE,MAGIC
MAGICAL_LEAF,MAGIC
MAGIC_ROOM,MAGIC
MAGIC_POWDER,MAGIC
SCREECH,MONKE
FLING,MONKE
CONVERSION_2,Normal2
ICE_BEAM,OU
THUNDERBOLT,OU
PAY_DAY,PRIME
LAST_RESORT,PRIME
TRUMP_CARD,RIGHT
SCRATCH,SHARP
GUILLOTINE,SHARP
RAZOR_WIND,SHARP
SWORDS_DANCE,SHARP
CUT,SHARP
PIN_MISSILE,SHARP
SPIKE_CANNON,SHARP
SHARPEN,SHARP
SUPER_FANG,SHARP
SLASH,SHARP
SPIKES,SHARP
X_SCISSOR,SHARP
DIZZY_PUNCH,SILLY
TICKLE,SILLY
SUBMISSION,SMASH
BOOMBURST,SONG
SING,SONG
SUPERSONIC,SONG
PERISH_SONG,SONG
GRASS_WHISTLE,SONG
CHATTER,SONG
ROUND,SONG
ECHOED_VOICE,SONG
RELIC_SONG,SONG
DISARMING_VOICE,SONG
SPARKLING_ARIA,SONG
CLANGING_SCALES,SONG
CLANGOROUS_SOUL,SONG
SEISMIC_TOSS,SPACE
SWIFT,SPACE
MORNING_SUN,SPACE
MOONLIGHT,SPACE
SUNNY_DAY,SPACE
WISH,SPACE
METEOR_MASH,SPACE
COSMIC_POWER,SPACE
GRAVITY,SPACE
DRACO_METEOR,SPACE
SPACIAL_REND,SPACE
LUNAR_DANCE,SPACE
SUNSTEEL_STRIKE,SPACE
MOONGEIST_BEAM,SPACE
METEOR_ASSAULT,SPACE
METEOR_BEAM,SPACE
POISON_GAS,STINKY
GUNK_SHOT,STINKY
BELCH,STINKY
CORROSIVE_GAS,STINKY
ODOR_SLEUTH,STINKY
MIMIC,SUS
HARDEN,SUS
LICK,SUS
TRANSFORM,SUS
THIEF,SUS
FAKE_OUT,SUS
FACADE,SUS
TRICK,SUS
ROLE_PLAY,SUS
EMBARGO,SUS
COPYCAT,SUS
SUCKER_PUNCH,SUS
SKETCH,TYPE
COVET,UGLY
LOVELY_KISS,UGLY
LEER,UGLY
FLAIL,UGLY
SCARY_FACE,UGLY
PAIN_SPLIT,UGLY
REVENGE,UGLY
CALM_MIND,VIBE
LUCKY_CHANT,VIBE
HEART_SWAP,VIBE
CLEAR_SMOG,ZOOMER
